"gene","logFC","logCPM","PValue","FDR"
"IGFBP5|3488",1.63884562886349,8.97516522806565,6.107091590663e-18,5.66524719304937e-16
"SRPX|8406",1.55373207074213,3.33801484488733,6.16089400249202e-18,5.68093453559129e-16
"NAV3|89795",1.68529059541195,1.78241822804512,6.52347769972144e-18,5.94987707582786e-16
"PCOLCE|5118",1.63655477576743,6.6838939337235,6.52983457247164e-18,5.94987707582786e-16
"MDFI|4188",2.09951157918839,4.97441165368056,6.78900255381358e-18,6.1496382544809e-16
"DCN|1634",1.62038937010015,8.52847979696746,7.13845059744074e-18,6.42836261695847e-16
"SC65|10609",0.789031971351345,5.22788862367417,8.58525020288612e-18,7.68629464385135e-16
"OLFML2B|25903",1.5719980181924,5.29314264724257,9.02803770911894e-18,8.03599726489726e-16
"GALNT10|55568",0.950641445627049,5.31521514698686,1.01824889805727e-17,9.01150274780682e-16
"FAM101A|144347",2.00426480171379,2.78832141893478,1.05124913679544e-17,9.25039169000741e-16
"SFRP4|6424",2.1150823445194,6.25094860417948,1.27514564854275e-17,1.1156799910176e-15
"NAV1|89796",1.22118349845183,5.606340513576,1.47434107792111e-17,1.28267673779137e-15
"CSAG3|389903",-3.70206698311344,-0.260016583078361,1.85875388764579e-17,1.60803096156503e-15
"RGS4|5999",1.6723275653642,3.57274725830567,1.91574562224828e-17,1.64807635960901e-15
"TCF4|6925",0.918570937032858,5.49676475914758,3.31013905209578e-17,2.83182395906794e-15
"MYH10|4628",1.0053799197204,7.46940501243533,3.70843842969168e-17,3.15504107065316e-15
"GFPT2|9945",1.58760209614735,3.44443268837339,3.74473207903242e-17,3.16841369697914e-15
"PCDHGC3|5098",1.03774819484769,6.45828117176107,3.83338439230444e-17,3.22569870257356e-15
"PTPRN|5798",2.39659854736797,0.696927822184233,4.15426196942631e-17,3.47671087321716e-15
"ABCA6|23460",2.05122087210267,0.58372420395529,4.38207855338219e-17,3.64754744019094e-15
"DENND2A|27147",1.56437164271531,2.47202744259466,5.49291004575248e-17,4.54759794594314e-15
"PSME1|5720",-0.906954568231199,7.9031364062033,5.60836723868109e-17,4.61835546034493e-15
"SH3RF3|344558",1.42626773153069,3.40275279948289,5.80786367258411e-17,4.75719641990015e-15
"ADAMTS16|170690",2.8808297870764,2.4997629749455,6.58883318967343e-17,5.36833027977678e-15
"SLC12A8|84561",1.03214868242437,4.92663832834797,6.703754542766e-17,5.43321664231861e-15
"PDGFRA|5156",1.67168688901254,5.30721662826311,7.36799853761749e-17,5.94030416129695e-15
"NKD2|85409",1.88415028355955,3.34385511802914,7.52877012459806e-17,6.03830891399404e-15
"INHBA|3624",2.01301006623018,3.65063723015915,1.00337526917649e-16,8.00568692748643e-15
"HEPH|9843",1.39127315273956,3.58892329106641,1.1197379640538e-16,8.88806438580645e-15
"SVEP1|79987",2.03175594927942,3.63859281114295,1.40249643371366e-16,1.10754064526957e-14
"C5orf62|85027",1.04450763467159,4.72951778420966,1.41916147200542e-16,1.11498303609242e-14
"SPOCK1|6695",2.10844978733001,3.42697108385183,1.44893297666578e-16,1.13259486840997e-14
"ETV1|2115",1.49372613912399,3.73563216306608,1.55920921808733e-16,1.21263953279428e-14
"PSMB8|5696",-1.11088927322006,6.93561082542532,1.70102283101353e-16,1.31628394848128e-14
"F13A1|2162",1.49826687835095,5.4055975381621,1.71495660128129e-16,1.32043083515653e-14
"EDNRA|1909",1.49477290177739,3.82265370736659,1.73196499389391e-16,1.32689198711305e-14
"CDR1|1038",2.12799686947927,1.04880778708121,1.7663893388813e-16,1.34656581333828e-14
"SLIT2|9353",1.60923719233542,3.85910028275796,1.80073459048498e-16,1.36598581078218e-14
"PKD2|5311",0.766351638348513,4.65598636248416,1.8976365460479e-16,1.43243652806822e-14
"DOK6|220164",1.63789059605149,0.406566883526965,2.0238292163597e-16,1.52024127330356e-14
"C13orf33|84935",1.92759402270684,2.71489864768267,2.05975369566725e-16,1.53971588153301e-14
"HEG1|57493",1.20242489351819,6.435886810114,2.15722735281224e-16,1.6047895655051e-14
"OLFML1|283298",1.35386491958562,3.76260706410649,2.72914110249153e-16,2.02048287679169e-14
"AFAP1|60312",0.963081137483041,5.86722880594429,2.84633335076551e-16,2.0971620702602e-14
"RASGRF2|5924",1.49542903009678,1.87281763546693,3.27047902414292e-16,2.39819554727508e-14
"ABCA8|10351",2.49773014955392,1.4247356896201,3.4064362362957e-16,2.48605268259325e-14
"SDC2|6383",1.40066625714247,5.71247460090079,4.14270105442776e-16,3.0091251668459e-14
"FEZ1|9638",1.03032166881778,2.36158880630179,4.23730086919528e-16,3.06338948754639e-14
"BMP4|652",1.74013723564907,3.65811621633259,4.39773231290268e-16,3.16451775170039e-14
"UBE2L6|9246",-1.03822257855766,7.56240466804448,4.48895291412814e-16,3.21513422905392e-14
"KIAA0319|9856",-2.42461940608079,1.17815865071617,4.5646432379374e-16,3.25421024171287e-14
"SLIT3|6586",1.723382962473,5.82944369162017,4.77841271355276e-16,3.39091139981562e-14
"MXRA8|54587",1.65492974431989,6.99909815697589,4.99115043747187e-16,3.52562961406556e-14
"SH3PXD2A|9644",1.04622616484726,6.48662774410602,5.81062871557592e-16,4.08574756123989e-14
"BARX1|56033",2.91190012648891,1.7458257717575,6.40536224830134e-16,4.48346242098147e-14
"FSTL3|10272",1.18648817872082,4.30641939642338,6.81157637305478e-16,4.74622011622943e-14
"ADAMTS14|140766",1.58170322050362,3.67989397766434,6.86544069411418e-16,4.76220365984974e-14
"COL4A2|1284",0.965539792748669,8.65115462153916,7.75598773720201e-16,5.35580516435757e-14
"BMP1|649",0.929968078277715,5.91853074099195,8.02748452382396e-16,5.49505712041199e-14
"LRRC15|131578",2.70583720191712,4.67874740915933,8.02901391059613e-16,5.49505712041199e-14
"ECM1|1893",1.36273893008317,5.05213069603144,8.16952495740579e-16,5.56648295659698e-14
"CNN1|1264",1.79823219532065,3.82530434782038,8.42640916466412e-16,5.71622355624065e-14
"CACNA1G|8913",2.31397106161056,2.15831432645036,8.82109013489613e-16,5.94127539887354e-14
"COL14A1|7373",1.74425399314964,4.92494811194153,8.83532740010416e-16,5.94127539887354e-14
"RHOBTB3|22836",1.31185837599638,4.66410552708993,9.37776482077243e-16,6.27861741195977e-14
"CTHRC1|115908",1.48954872575242,6.0818017768314,1.17621593486236e-15,7.84093038136168e-14
"RCAN2|10231",1.15417248336488,3.34502247713863,1.29801384302611e-15,8.61556688308578e-14
"PTPRD|5789",2.2132561700978,2.66402602521514,1.36411132395902e-15,9.01542930371025e-14
